tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin ,jumlah
2020,4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,3
2020,4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,0
2020,4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,3
2020,4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,2
2020,4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,2
2020,4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,
2020,4,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,0
2020,4,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,3
2020,4,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,
2020,4,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,5
2020,4,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,1
2020,4,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,1
2020,4,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,2
2020,4,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,3
2020,4,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,0
2020,4,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,1
2020,4,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,3
2020,4,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,2
2020,4,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,7
2020,4,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,1
2020,4,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,2
2020,4,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,
2020,4,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,5
2020,4,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,1
2020,4,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,2
2020,4,JAKARTA PUSAT,S E N E N,SENEN,Laki-Laki,
2020,4,JAKARTA PUSAT,S E N E N,KENARI,Laki-Laki,2
2020,4,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-Laki,3
2020,4,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-Laki,3
2020,4,JAKARTA PUSAT,S E N E N,KWITANG,Laki-Laki,
2020,4,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-Laki,8
2020,4,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,5
2020,4,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,5
2020,4,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,2
