tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin ,jumlah
2020,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,0
2020,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,4
2020,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,2
2020,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,1
2020,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,3
2020,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,3
2020,6,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,2
2020,6,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,3
2020,6,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,4
2020,6,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,10
2020,6,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,5
2020,6,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,11
2020,6,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,1
2020,6,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,5
2020,6,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,5
2020,6,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,11
2020,6,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,12
2020,6,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,11
2020,6,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,30
2020,6,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,13
2020,6,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,6
2020,6,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,7
2020,6,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,17
2020,6,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,7
2020,6,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,13
2020,6,JAKARTA PUSAT,S E N E N,SENEN,Laki-Laki,3
2020,6,JAKARTA PUSAT,S E N E N,KENARI,Laki-Laki,7
2020,6,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-Laki,12
2020,6,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-Laki,12
2020,6,JAKARTA PUSAT,S E N E N,KWITANG,Laki-Laki,0
2020,6,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-Laki,7
2020,6,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,11
2020,6,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,17
2020,6,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,6
2020,6,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,8
2020,6,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,11
2020,6,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,5
2020,6,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,3
2020,6,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,4
2020,6,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,1
2020,6,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,9
2020,6,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,11
2020,6,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,15
2020,6,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,16
2020,6,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,4
2020,6,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,3
2020,6,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,7
2020,6,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,10
2020,6,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,11
2020,6,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,8
2020,6,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,40
2020,6,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,13
2020,6,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,17
2020,6,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,36
2020,6,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,22
2020,6,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,29
2020,6,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,46
2020,6,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,28
2020,6,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,19
2020,6,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,37
2020,6,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,16
2020,6,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,19
2020,6,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,20
2020,6,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-Laki,49
2020,6,JAKARTA UTARA,KOJA,LAGOA,Laki-Laki,35
2020,6,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-Laki,13
2020,6,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-Laki,29
2020,6,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-Laki,26
2020,6,JAKARTA UTARA,CILINCING,CILINCING,Laki-Laki,24
2020,6,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-Laki,26
2020,6,JAKARTA UTARA,CILINCING,MARUNDA,Laki-Laki,18
2020,6,JAKARTA UTARA,CILINCING,KALI BARU,Laki-Laki,50
2020,6,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-Laki,17
2020,6,JAKARTA UTARA,CILINCING,ROROTAN,Laki-Laki,11
2020,6,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-Laki,45
2020,6,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-Laki,14
2020,6,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Laki-Laki,23
2020,6,JAKARTA UTARA,PADEMANGAN,ANCOL,Laki-Laki,19
2020,6,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Laki-Laki,20
2020,6,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Laki-Laki,26
2020,6,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Laki-Laki,31
2020,6,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Laki-Laki,33
2020,6,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Laki-Laki,61
2020,6,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Laki-Laki,29
2020,6,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Laki-Laki,24
2020,6,JAKARTA BARAT,CENGKARENG,KAPUK,Laki-Laki,92
2020,6,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,Laki-Laki,47
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,Laki-Laki,7
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,Laki-Laki,8
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,Laki-Laki,7
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Laki-Laki,19
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Laki-Laki,11
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Laki-Laki,22
2020,6,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Laki-Laki,29
2020,6,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Laki-Laki,9
2020,6,JAKARTA BARAT,TAMAN SARI,KRUKUT,Laki-Laki,7
2020,6,JAKARTA BARAT,TAMAN SARI,MAPHAR,Laki-Laki,5
2020,6,JAKARTA BARAT,TAMAN SARI,TANGKI,Laki-Laki,4
2020,6,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Laki-Laki,3
2020,6,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Laki-Laki,5
2020,6,JAKARTA BARAT,TAMAN SARI,GLODOK,Laki-Laki,3
2020,6,JAKARTA BARAT,TAMAN SARI,PINANGSIA,Laki-Laki,6
2020,6,JAKARTA BARAT,TAMBORA,TAMBORA,Laki-Laki,0
2020,6,JAKARTA BARAT,TAMBORA,KALI ANYAR,Laki-Laki,9
2020,6,JAKARTA BARAT,TAMBORA,DURI UTARA,Laki-Laki,8
2020,6,JAKARTA BARAT,TAMBORA,TANAH SEREAL,Laki-Laki,8
2020,6,JAKARTA BARAT,TAMBORA,KERENDANG,Laki-Laki,18
2020,6,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,Laki-Laki,17
2020,6,JAKARTA BARAT,TAMBORA,ANGKE,Laki-Laki,9
2020,6,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,Laki-Laki,13
2020,6,JAKARTA BARAT,TAMBORA,PEKOJAN,Laki-Laki,7
2020,6,JAKARTA BARAT,TAMBORA,ROA MALAKA,Laki-Laki,0
2020,6,JAKARTA BARAT,TAMBORA,DURI SELATAN,Laki-Laki,2
2020,6,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,Laki-Laki,41
2020,6,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,Laki-Laki,25
2020,6,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,Laki-Laki,19
2020,6,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,Laki-Laki,9
2020,6,JAKARTA BARAT,KEBON JERUK,DURI KEPA,Laki-Laki,30
2020,6,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,Laki-Laki,26
2020,6,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,Laki-Laki,13
2020,6,JAKARTA BARAT,KALI DERES,KALIDERES,Laki-Laki,47
2020,6,JAKARTA BARAT,KALI DERES,SEMANAN,Laki-Laki,50
2020,6,JAKARTA BARAT,KALI DERES,TEGAL ALUR,Laki-Laki,43
2020,6,JAKARTA BARAT,KALI DERES,KAMAL,Laki-Laki,63
2020,6,JAKARTA BARAT,KALI DERES,PEGADUNGAN,Laki-Laki,53
2020,6,JAKARTA BARAT,PAL MERAH,PALMERAH,Laki-Laki,23
2020,6,JAKARTA BARAT,PAL MERAH,SLIPI,Laki-Laki,5
2020,6,JAKARTA BARAT,PAL MERAH,KOTA BAMBU UTARA,Laki-Laki,11
2020,6,JAKARTA BARAT,PAL MERAH,JATI PULO,Laki-Laki,14
2020,6,JAKARTA BARAT,PAL MERAH,KEMANGGISAN,Laki-Laki,19
2020,6,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,Laki-Laki,10
2020,6,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,Laki-Laki,35
2020,6,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,Laki-Laki,30
2020,6,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,Laki-Laki,19
2020,6,JAKARTA BARAT,KEMBANGAN,SRENGSENG,Laki-Laki,29
2020,6,JAKARTA BARAT,KEMBANGAN,JOGLO,Laki-Laki,24
2020,6,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Laki-Laki,6
2020,6,JAKARTA SELATAN,TEBET,TEBET TIMUR,Laki-Laki,11
2020,6,JAKARTA SELATAN,TEBET,TEBET BARAT,Laki-Laki,5
2020,6,JAKARTA SELATAN,TEBET,MENTENG DALAM,Laki-Laki,6
2020,6,JAKARTA SELATAN,TEBET,KEBON BARU,Laki-Laki,9
2020,6,JAKARTA SELATAN,TEBET,BUKIT DURI,Laki-Laki,13
2020,6,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Laki-Laki,10
2020,6,JAKARTA SELATAN,TEBET,MANGGARAI,Laki-Laki,15
2020,6,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Laki-Laki,0
2020,6,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Laki-Laki,0
2020,6,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Laki-Laki,8
2020,6,JAKARTA SELATAN,SETIA BUDI,KARET,Laki-Laki,3
2020,6,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Laki-Laki,11
2020,6,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Laki-Laki,1
